"window_id","n_obs","minw","lag","nrep","gsadf_stat","gsadf_cv95","gsadf_reject","error"
"w000336",60,50,1,499,-2.24229102112872,0.461119876580165,FALSE,""
"w000337",60,50,1,499,-2.37298805986839,0.461119876580165,FALSE,""
"w000338",60,50,1,499,-1.16166850061688,0.461119876580165,FALSE,""
"w000339",60,50,1,499,-1.72018022686563,0.461119876580165,FALSE,""
"w000340",60,50,1,499,-1.18336612839483,0.461119876580165,FALSE,""
"w000341",60,50,1,499,-1.13678559749273,0.461119876580165,FALSE,""
"w000342",60,50,1,499,0.761106916616683,0.461119876580165,TRUE,""
"w000343",60,50,1,499,-1.71710795279832,0.461119876580165,FALSE,""
"w000344",60,50,1,499,2.77993321232737,0.461119876580165,TRUE,""
"w000345",60,50,1,499,-0.0196170766540463,0.461119876580165,FALSE,""
"w000346",60,50,1,499,-1.15056113864095,0.461119876580165,FALSE,""
"w000347",60,50,1,499,-1.68994084889706,0.461119876580165,FALSE,""
"w000348",60,50,1,499,-0.860577744008344,0.461119876580165,FALSE,""
"w000349",60,50,1,499,-1.20324895121403,0.461119876580165,FALSE,""
"w000350",60,50,1,499,-1.65633190517101,0.461119876580165,FALSE,""
"w000351",60,50,1,499,-1.40436396551662,0.461119876580165,FALSE,""
"w000352",60,50,1,499,-0.284620422462584,0.461119876580165,FALSE,""
"w000353",60,50,1,499,-1.76682949138619,0.461119876580165,FALSE,""
"w000354",60,50,1,499,-1.4176760054272,0.461119876580165,FALSE,""
"w000355",60,50,1,499,0.323945636234875,0.461119876580165,FALSE,""
"w000356",60,50,1,499,-0.50275860626352,0.461119876580165,FALSE,""
"w000357",60,50,1,499,-2.57641081748309,0.461119876580165,FALSE,""
"w000358",60,50,1,499,-1.21741419462618,0.461119876580165,FALSE,""
"w000359",60,50,1,499,-2.5320333096619,0.461119876580165,FALSE,""
"w000360",60,50,1,499,-1.84208210285766,0.461119876580165,FALSE,""
"w000361",60,50,1,499,-1.14963219998918,0.461119876580165,FALSE,""
"w000362",60,50,1,499,-1.64168515513469,0.461119876580165,FALSE,""
"w000363",60,50,1,499,1.13562015566894,0.461119876580165,TRUE,""
"w000364",60,50,1,499,0.0600020618461587,0.461119876580165,FALSE,""
"w000365",60,50,1,499,0.867235740354491,0.461119876580165,TRUE,""
"w000366",60,50,1,499,-0.88927388102025,0.461119876580165,FALSE,""
"w000367",60,50,1,499,-0.923739128778275,0.461119876580165,FALSE,""
"w000368",60,50,1,499,-0.668325174929196,0.461119876580165,FALSE,""
"w000369",60,50,1,499,-1.2377718519506,0.461119876580165,FALSE,""
"w000370",60,50,1,499,0.670632252595524,0.461119876580165,TRUE,""
"w000371",60,50,1,499,-1.36389337655226,0.461119876580165,FALSE,""
"w000372",60,50,1,499,-0.454008322762092,0.461119876580165,FALSE,""
"w000373",60,50,1,499,-2.05529174583799,0.461119876580165,FALSE,""
"w000374",60,50,1,499,0.230380692412575,0.461119876580165,FALSE,""
"w000375",60,50,1,499,-1.40568703986129,0.461119876580165,FALSE,""
"w000376",60,50,1,499,0.726457882153699,0.461119876580165,TRUE,""
"w000377",60,50,1,499,-1.38349203034285,0.461119876580165,FALSE,""
"w000378",60,50,1,499,-1.48604442143591,0.461119876580165,FALSE,""
