stock_id,date,close,has_structural_window,num_confirmed_extrema,starts_high,high1,high2,low1,low2,range_pct,expansion,structure_dir,range_pos,upper_break,lower_break,move_age,extrema_freq,speed_imbalance,speed_level,valid_manual_state,range_pct_group,expansion_group,structure_dir_group,range_pos_group,upper_break_group,lower_break_group,move_age_group,extrema_freq_group,speed_imbalance_group,speed_level_group,state_label,sample_type,sample_name,window_id,range_pct_score,expansion_score,structure_dir_score,range_pos_score,upper_break_score,lower_break_score,move_age_score,extrema_freq_score,speed_imbalance_score,speed_level_score
000407,2017-06-26,2.276241117654444,True,254,0.0,2.26176309847379,2.390595970316759,2.1198634561787517,2.128231705849268,0.2707325141380079,0.1204646221724519,0.1372011215134851,0.5776094606648455,0.0,0.0,2.4444444444444446,0.2105263157894736,0.0098062671346344,0.011665878172527,True,high,high,high,mid,low,low,high,mid,high,mid,wide_expanding,composite_state,wide_expanding,w001123,0.13406005691122114,0.9171962264676741,0.5752733634692113,-0.07051862290379118,-1.0,-1.0,-0.03760421984005302,-0.5578947368421052,0.5223983454347021,-0.5367175283509765
000031,2017-07-11,2.030776369698555,True,263,1.0,2.182674796321488,2.179286876649552,2.1198634561787517,1.8991179875485544,0.2835568087729336,0.2173575489582611,-0.224133388302133,0.4643104241430149,0.0,0.0,3.555555555555556,0.1818181818181818,-0.0093823824250783,0.0116409955397023,True,high,high,low,mid,low,low,high,mid,low,mid,wide_expanding,composite_state,wide_expanding,w001124,-0.09756350793396329,1.0,-1.0,0.2758590879052454,-1.0,-1.0,0.11847345320205394,-0.6482735313654426,-0.4482629987188107,-0.5769188165073473
000338,2020-01-23,2.604909442182697,True,332,0.0,2.583997552432231,2.814809737673744,2.4423470353692043,2.513656063073986,0.3724627023045395,0.1595031575367307,0.3021212129462944,0.4364528469768106,0.0,1.0,1.625,0.0869565217391304,-0.0011149136440781,0.0118503641204276,True,high,high,high,mid,low,high,mid,low,mid,mid,wide_expanding,composite_state,wide_expanding,w001125,1.0,1.0,1.0,-0.3058703102603554,-1.0,1.0,-0.3591965011232727,-1.0,-0.3545220448689189,-0.1892558440429558
000410,2013-06-26,1.6695918352538477,True,125,1.0,1.8794650496471603,1.8531680973566984,1.7083778602890038,1.5810384379124025,0.298426611734758,0.1010424700861392,-0.1536363746670634,0.2967342517702521,0.0,0.0,0.2,0.0784313725490196,-0.0028067352801705,0.004267677074085,True,high,high,low,mid,low,low,low,low,low,low,wide_expanding,composite_state,wide_expanding,w001126,0.6098807324750326,0.7479102929203996,-0.507169800220634,0.03627204533972361,-1.0,-1.0,-1.0,-1.0,-0.20767439626489403,-0.7043192411816059
000037,2011-05-27,1.7934247485471162,True,41,0.0,1.81319474994812,1.9050881545350584,1.7439688053917064,1.667706820558076,0.2373813339769821,0.1681553894205685,0.0156314197533078,0.5296032585326632,0.0,0.0,0.0,0.16,-0.0051568716953019,0.0139086245131056,True,high,high,mid,mid,low,low,low,low,low,high,wide_expanding,composite_state,wide_expanding,w001127,-0.03220384609188065,1.0,0.3610670057385479,0.2585089315441329,-1.0,-1.0,-1.0,-0.35,-0.6856131133689195,0.12443184378115513
000065,2014-04-02,2.731115474033206,True,163,1.0,2.8495497633759097,2.8326249356838407,2.6651427000909336,2.6100697927420065,0.2394799706339032,0.038148079656858,-0.0719977350409961,0.5054522136894861,0.0,0.0,0.6666666666666666,0.2666666666666666,-0.0021207740268703,0.0063519809498876,True,high,high,low,mid,low,low,low,mid,low,mid,wide_expanding,composite_state,wide_expanding,w001128,-0.05893796077064872,0.0687326005554576,-0.06935903174325675,0.23933140739206493,-1.0,-1.0,-0.7379095163806553,-0.3155555555555556,-0.1654422277266091,-0.6155684407907253
000159,2013-02-21,1.958685340544036,True,122,0.0,1.99197551589856,2.1162555148025524,1.824549292051046,1.9050881545350584,0.2917062227515063,0.04374113641998,0.2048188613880044,0.4598326605026029,0.0,1.0,1.6,0.2666666666666666,0.0097003993093119,0.0258081718061143,True,high,high,high,mid,low,high,mid,mid,high,high,wide_expanding,composite_state,wide_expanding,w001129,0.22928664403312338,0.31498308242640727,1.0,0.23766138328447717,-1.0,1.0,-0.21836228287841142,-0.3224125093075205,0.5411448838367299,0.31195323273460684
000010,2024-02-23,0.8415671856782185,True,419,1.0,1.3217558399823195,1.0508216248317612,0.9082585601768908,0.4700036292457356,0.8517522107365838,0.1673207157805968,-0.7091891460817135,0.4362343317091713,1.0,0.0,1.6666666666666667,0.2105263157894736,-0.0094278227292071,0.0636146657593187,True,high,high,low,mid,high,low,mid,mid,low,high,wide_expanding,composite_state,wide_expanding,w001130,1.0,1.0,-1.0,0.16466373962483227,1.0,-1.0,-0.32516681605417774,-0.4567062818336164,-1.0,1.0
000010,2017-11-07,1.8164520818184269,True,197,1.0,1.7715567619105357,2.0412203288596382,1.6882490928583902,1.7526720805200082,0.352971236001248,0.2052405792874847,0.3340865546107208,0.3632108678668172,0.0,0.0,0.2105263157894736,0.2666666666666666,0.0403422858490206,0.0495455698006803,True,high,high,high,mid,low,low,low,mid,high,high,wide_expanding,composite_state,wide_expanding,w001131,0.08519913325970507,1.0,1.0,-0.07250276182384974,-1.0,-1.0,-0.9944695363627984,-0.3999999999999999,1.0,0.8357277074127545
000420,2022-02-18,1.5282278570085572,True,441,0.0,1.749199854809259,1.5830939370944983,1.6486586255873816,1.3912819026309295,0.3579179521783295,0.0912708052416915,-0.4234826406712126,0.3826182887562888,0.0,0.0,2.4,0.1481481481481481,-0.004079793414595,0.0173682668317759,True,high,high,low,mid,low,low,high,low,low,high,wide_expanding,composite_state,wide_expanding,w001132,0.30626559510657825,0.435501284436413,-1.0,-0.03207601813879546,-1.0,-1.0,0.16199151226581088,-0.6572504708097928,-0.5564260936728267,-0.09219970234142283
